  x (normalized)   y (normalized)    zenith (um)   horizon (um)      z-grad (um)    r-grad (um)
  -8.8985324e-01  -3.1182892e-01   9.6525353e-03  -1.2029038e-02   7.9549303e-02  -1.5042160e-02
  -8.8985324e-01  -2.9661775e-01   1.0571221e-02  -4.2603204e-03   7.6951118e-02  -1.4628624e-02
  -8.8985324e-01  -2.8140659e-01   9.4496209e-03  -2.3020215e-04   7.4544823e-02  -1.4240876e-02
  -8.8985324e-01  -2.6619542e-01   5.3136576e-03   1.3746684e-03   7.2234158e-02  -1.3865666e-02
  -8.8985324e-01  -2.5098425e-01  -6.4963861e-04   1.4558562e-03   7.0050482e-02  -1.3509405e-02
  -8.8985324e-01  -2.3577309e-01  -6.6585532e-03   5.7373110e-04   6.8018207e-02  -1.3174632e-02
  -8.8985324e-01  -2.2056192e-01  -1.3248340e-02  -1.5475367e-03   6.6123132e-02  -1.2854927e-02
  -8.8985324e-01  -2.0535075e-01  -1.9761587e-02  -4.4852149e-03   6.4339887e-02  -1.2546339e-02
  -8.8985324e-01  -1.9013959e-01  -2.2776629e-02  -6.4053475e-03   6.2665292e-02  -1.2260779e-02
  -8.8985324e-01  -1.7492842e-01  -1.9424317e-02  -6.2954473e-03   6.1114676e-02  -1.2008870e-02
  -8.8985324e-01  -1.5971725e-01  -1.2564386e-02  -5.1508475e-03   5.9703251e-02  -1.1784124e-02
  -8.8985324e-01  -1.4450609e-01  -6.2918070e-03  -3.9779548e-03   5.8367716e-02  -1.1558396e-02
  -8.8985324e-01  -1.2929492e-01  -5.1411753e-04  -2.6934761e-03   5.7209371e-02  -1.1361964e-02
  -8.8985324e-01  -1.1408375e-01   3.2288444e-03  -1.7331029e-03   5.6181176e-02  -1.1187217e-02
  -8.8985324e-01  -9.8872585e-02   5.0122128e-03  -9.5924474e-04   5.5208651e-02  -1.1019669e-02
  -8.8985324e-01  -8.3661415e-02   4.9751864e-03  -3.1131750e-04   5.4372015e-02  -1.0875831e-02
  -8.8985324e-01  -6.8450250e-02   2.5303025e-03  -1.8268134e-05   5.3747910e-02  -1.0768555e-02
  -8.8985324e-01  -5.3239084e-02  -1.8145665e-03   2.4691959e-05   5.3284015e-02  -1.0688453e-02
  -8.8985324e-01  -3.8027917e-02  -6.0179155e-03   2.5091750e-05   5.2956370e-02  -1.0630846e-02
  -8.8985324e-01  -2.2816750e-02  -1.0076425e-02   9.2530162e-05   5.2665595e-02  -1.0579257e-02
  -8.8985324e-01  -7.6055835e-03  -1.3310733e-02   1.2822295e-04   5.2447669e-02  -1.0541246e-02
  -8.8985324e-01   7.6055835e-03  -1.3310512e-02   1.1455917e-05   5.2447664e-02  -1.0541245e-02
  -8.8985324e-01   2.2816750e-02  -1.0075901e-02  -2.9032805e-04   5.2665579e-02  -1.0579253e-02
  -8.8985324e-01   3.8027917e-02  -6.0164774e-03  -4.6432638e-04   5.2956344e-02  -1.0630840e-02
  -8.8985324e-01   5.3239084e-02  -1.8100533e-03  -2.6675345e-04   5.3283979e-02  -1.0688444e-02
